properties,image_id,type_id,type_name
"2236.341486450408,2011.8619141770253,2238.665665204506,1962.8217424624015,2481.5996147635037,1974.33519978673,2479.275436009406,2023.3753715013538",0.png,4,maritime vessels
"2185.5794404486546,2056.4704288715725,2187.032365729165,2025.8137054508172,2339.1402065249736,2033.0226078577368,2337.687281244463,2063.6793312784916",0.png,4,maritime vessels
"2314.6836988962705,1865.188985750079,2341.280211802753,1841.8344047546207,2440.1659448061464,1954.4468157673966,2413.569431899664,1977.801396762855",0.png,4,maritime vessels
"2535.5301911335873,1764.7630438234478,2541.5243559184946,1727.5967517135375,2796.585223623545,1768.7328668439973,2790.5910588386378,1805.8991589539075",0.png,4,maritime vessels
"2083.444613160385,2161.564299855292,2089.381575005758,2122.8267171911666,2238.114317313021,2145.6216505738757,2232.177355467648,2184.3592332380013",0.png,4,maritime vessels
"2510.8904161810574,1892.2534291645068,2518.4028591126876,1845.6731867996305,2650.8691216713064,1867.0372928522077,2643.356678739676,1913.617535217084",0.png,4,maritime vessels
"2554.3794859180107,1820.5288898414524,2562.194389758882,1780.9219808544551,2822.6233802683364,1832.3076499273634,2814.808476427465,1871.9145589143607",0.png,4,maritime vessels
"2838.471558469008,1628.8373019929575,2839.151095777994,1675.2814002837208,2552.883423729301,1679.4698670787031,2552.2038864203146,1633.0257687879398",0.png,4,maritime vessels
"258.41270525698405,1695.6163437094071,274.133396372332,1717.2540187378843,188.42373452123843,1779.5257331336618,172.70304340589047,1757.8880581051847",1.png,4,maritime vessels
"2705.8010968857875,1686.480634575043,2705.9564831399084,1710.8762773742758,2591.0748627753214,1711.6080074132306,2590.9194765212005,1687.2123646139978",1.png,4,maritime vessels
"645.0510946516721,2044.0106633896764,659.8858459129428,2095.7455892090193,501.5283277924094,2141.153876830299,486.6935765311386,2089.4189510109563",1.png,4,maritime vessels
"492.1308873015325,1787.3551196415822,517.7286089594146,1828.3200374754733,393.5260764738112,1905.9303934552488,367.9283548159291,1864.9654756213577",1.png,4,maritime vessels
"438.42442420932235,1757.4265709370136,461.10787032816035,1791.056162784165,342.2323177327275,1871.2387354541336,319.5488716138895,1837.6091436069821",1.png,4,maritime vessels
"402.28541886495424,1757.3101119819842,412.8078705171805,1779.663489375643,329.9509468010112,1818.6669007394628,319.4284951487849,1796.313523345804",1.png,4,maritime vessels
"359.9333940338465,1733.5823017833036,372.2613517546298,1752.4147704666784,298.4919860486707,1800.7050736022893,286.1640283278874,1781.8726049189145",1.png,4,maritime vessels
"172.88655524064527,1628.3292323055111,202.7060048798449,1672.5383844431203,61.11288886964102,1768.0441471182594,31.293439230441365,1723.8349949806502",1.png,4,maritime vessels
"569.6573503398824,2262.5789116412607,580.1818838261812,2213.0648745134054,799.4257039986194,2259.66658709666,788.9011705123206,2309.180624224515",1.png,4,maritime vessels
"1141.5864313760596,1328.4418229630517,1219.5574585809918,1258.2363947296742,1579.7102230280032,1658.2265621748577,1501.739195823071,1728.4319904082352",1.png,1,container
"529.6014884520317,121.45695219140018,579.0917851929082,110.93746488013034,606.3305545704899,239.08579943904058,556.8402578296134,249.60528675031043",3.png,4,maritime vessels
"490.63216114737855,123.83970803055219,533.0584323342621,116.35881172945047,551.1327427358111,218.86331971188247,508.70647154892754,226.3442160129842",3.png,4,maritime vessels
"2885.6080510874394,2708.249947644124,2926.7549249703966,2738.592893747994,2774.4948234477874,2945.0668192959806,2733.3479495648303,2914.7238731921107",4.png,1,container
"2839.564920476405,2700.491511309209,2874.762685623001,2726.4474051605325,2731.166891857807,2921.172004279995,2695.969126711211,2895.216110428671",4.png,1,container
"2799.5305580299005,2678.767294738055,2841.368654253132,2709.6199690481653,2702.5804207175884,2897.825225128986,2660.742324494357,2866.972550818876",4.png,1,container
"2871.7924295008843,2395.363674285449,2880.977399276178,2374.681871603281,2988.67075623405,2422.50943498637,2979.485786458756,2443.191237668538",4.png,4,maritime vessels
"2892.8555746134775,2194.961018512266,2900.371548869517,2215.300028256482,2821.5806440928786,2244.4160186295953,2814.064669836839,2224.077008885379",4.png,4,maritime vessels
"1953.1235211687085,1868.2427502382664,1954.7045671567373,1840.3923353034213,2056.2082803521266,1846.1546206730661,2054.627234364098,1874.0050356079112",4.png,4,maritime vessels
"2198.2534199889415,2317.0011097619513,2228.881833458569,2302.1541125252247,2268.6967595119677,2384.289779285477,2238.06834604234,2399.1367765222035",4.png,4,maritime vessels
"1958.2570491721158,1887.873525610426,1959.579723413876,1864.574376353811,2043.6477255043578,1869.3468502195578,2042.3250512625975,1892.6459994761728",4.png,4,maritime vessels
"2200.863464846944,1858.4983973628423,2225.2924321445294,1857.7067985702456,2227.4617590165262,1924.6528521890941,2203.032791718941,1925.4444509816908",4.png,4,maritime vessels
"2222.2595828729677,1855.7798419888015,2248.956465772458,1854.9147534235794,2251.177277366591,1923.4496404327153,2224.4803944671007,1924.3147289979374",4.png,4,maritime vessels
"2242.043124440811,1852.948679548517,2267.0076817130252,1852.1397254427761,2269.298495776976,1922.8349088822763,2244.3339385047616,1923.6438629880172",4.png,4,maritime vessels
"2262.98250263506,1850.3945502496374,2287.2859142214324,1849.6070199773426,2289.6837662497337,1923.605425901729,2265.3803546633612,1924.3929561740238",4.png,4,maritime vessels
"96.91570349903219,2163.215922708749,136.9845691133,2150.595807552469,198.73294285143032,2346.646894137169,158.6640772371625,2359.267009293449",5.png,1,container
"3020.4132110831547,1486.925915823007,3037.5086409196665,1530.915375528287,2868.482733481543,1596.603168934269,2851.3873036450314,1552.613709228989",5.png,4,maritime vessels
"546.2765925402712,2237.026822876178,555.9170505001005,2286.870041687995,249.86590777701323,2346.0651186776886,240.22544981718394,2296.2218998658714",5.png,1,container
"523.6917300915148,2289.1870162128807,531.0733441620226,2327.3515315122377,241.23726266489473,2383.4103620918604,233.85564859438693,2345.2458467925035",5.png,1,container
"549.0178097656963,2323.9403743472503,559.6853883554008,2379.0940253516383,251.09530523970992,2438.780173116873,240.42772665000533,2383.626522112485",5.png,1,container
"2799.458823104998,2004.6127877261904,2807.8329494036625,2041.5042089948404,2701.1893010735207,2065.711662905701,2692.815174774856,2028.8202416370511",5.png,4,maritime vessels
"2139.6959394721057,1337.1131575179877,2172.792982417755,1324.2586426330968,2208.5488878310894,1416.3208283805072,2175.45184488544,1429.1753432653982",5.png,4,maritime vessels
"2295.7030505227035,1340.5519676724853,2323.782579938848,1327.8670052703344,2355.9346167132003,1399.0389988303086,2327.855087297056,1411.7239612324595",5.png,4,maritime vessels
"2237.254746766727,1335.5530995697002,2262.646355303053,1324.0824087742826,2290.9493315884697,1386.734092711166,2265.5577230521435,1398.2047835065837",5.png,4,maritime vessels
"2257.634747425279,1399.769328384433,2285.0559359375115,1387.381772305948,2313.3589122244093,1450.03345624611,2285.9377237121766,1462.421012324595",5.png,4,maritime vessels
"910.9138333863268,2096.139661353963,918.9084694141131,2117.1003719801292,819.9370003024885,2154.8491337847504,811.9423642747022,2133.8884231585844",5.png,4,maritime vessels
"872.964630617224,2128.5329779926924,882.4019373745014,2148.8849517643685,803.5500672175417,2185.448937911593,794.1127604602643,2165.096964139917",5.png,4,maritime vessels
"872.3730485963883,2087.418027253555,881.8103553536657,2107.770001025231,802.9584851967061,2144.3339871724556,793.5211784394287,2123.9820134007796",5.png,4,maritime vessels
"367.42219240221937,1315.5737181602344,405.7039813262172,1276.7527491082758,631.4485805121486,1499.3620066258263,593.1667915881508,1538.182975677785",6.png,1,container
"393.8420212940411,1273.1661028478313,433.7752783252066,1231.3609743923764,647.2014455896376,1435.2307461030039,607.2681885584722,1477.0358745584588",6.png,1,container
"1233.727298795182,648.6403703968916,1250.3816548781417,634.039310344946,1309.6052740792784,701.5913400734936,1292.9509179963186,716.1924001254392",6.png,4,maritime vessels
"1250.924650543102,638.5815419630852,1267.5790066260618,623.9804819111396,1326.8026258271984,691.5325116396872,1310.1482697442386,706.1335716916328",6.png,4,maritime vessels
